"class","UC1","UC2","UC3","UC4","UC5","UC6","UC8","UC9","UC10","UC11","UC12","UC13","UC15","UC16","UC17","UC18","UC19","UC21","UC23","UC24","UC25","UC26","UC27","UC28","UC29","UC30","UC31","UC32","UC33","UC34","UC35","UC36","UC37","UC38"
"ViewVisitedHCPsAction::undeclareHCP","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"editNDCodes_jsp::_jspService","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","x"
"viewPrescriptionRecords_jsp::_jspService","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","x","","",""
"ReferralManagementAction::updateReferral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"ResetPasswordAction::isMaxedOut","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ResetPasswordAction::resetPassword","","","x","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"ViewVisitedHCPsAction::getVisitedHCPs","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MonitorAdverseEventAction::sendEmail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"OfficeVisitDAO::getAllOfficeVisits","","","","","","","","x","x","","","","","","","","","","x","","","","","","","","","","","","","","",""
"RemoteMonitoringDAO::getNumberOfDailyEntries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"VisitRemindersDAO::getPatients","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","",""
"HospitalsDAO::addHospital","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","",""
"LabProcedureDAO::getAllLabProceduresDate","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"getPatientID_jsp::_jspService","","","","x","","","","","","","","","","","","","","","x","","","x","","","","x","","","","x","","","",""
"PatientDAO::getRepresented","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","x","","","",""
"SendMessageAction::sendMessage","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","",""
"ViewMyRecordsAction::getFamilyHistory","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PatientDAO::checkDeclaredHCP","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"VisitRemindersDAO::getDiagnosedVisitNeeders","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","",""
"RemoteMonitoringDataBeanValidator::validate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"EditPHRAction::getAllOfficeVisits","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"ChronicDiseaseRiskAction::getPatientID","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"editPatientList_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"EditPatientAction::getPid","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"editLOINCCodes_jsp::_jspService","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"DrugDAO::getInteractions","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getAllergies","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"ReportRequestDAO::getAllReportRequestsForPatient","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"ReferralDAO::getReferralsSentFrom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"CPTCodesDAO::addCPTCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"ResetPasswordAction::checkAnswerNull","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealthRecordDAO::add","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitorAdverseEvents_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"reply_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",""
"PatientDAO::getProcedures","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"addUAP_jsp::_jspService","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealthRecordDAO::getAllHealthRecords","","","","","","","","x","x","","","","","","","","","","x","","","","","","","","","","","","","","",""
"home_jsp::_jspService","","","x","","","","","","x","","x","","","","","","x","x","","","","x","","","","","","","","","","","",""
"editMyDemographics_jsp::_jspService","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"visitReminders_jsp::_jspService","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","",""
"PatientDAO::undeclareHCP","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UpdateCPTCodeListAction::updateInformation","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"adverseEventDetails_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"MonitorAdverseEventAction::remove","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"ReportRequestDAO::getAllReportRequestsForRequester","","","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"HeartDiseaseRisks::getDiseaseRiskFactors","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"DrugInteractionDAO::getInteractions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x"
"barchart_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"OfficeVisitDAO::getAllOfficeVisitsForDiagnosis","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","",""
"survey_jsp::_jspService","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","",""
"LOINCBeanValidator::validate","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::updateInformation","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"viewPatientOfficeVisitHistory_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","",""
"AuthDAO::getResetPasswordFailures","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SetSecurityQuestionAction::updateInformation","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
